,station,Mean,Std
0,22.0,17.02,0.9716174164970514
1,23.0,13.008333333333335,0.6228779913784556
2,24.0,16.49875,0.6868385247573906
3,25.0,28.12916666666667,3.168721090624474
4,26.0,21.45333333333333,0.8345378500224484
5,27.0,31.085,1.95570261728943
6,28.0,27.5825,1.2983356673258672
7,29.0,14.437999999999999,1.2445257909920728
8,30.0,14.695000000000002,0.6383089154985522
9,31.0,13.512857142857142,0.831034553547479
10,32.0,11.74,0.9134240167323355
11,33.0,40.51999999999999,1.525186967619145
12,34.0,12.30359375,0.16247473033416343
13,35.0,58.75666666666667,2.088316599017708
14,36.0,36.905,3.078677894122341
15,37.0,26.100479999999997,0.6794596260517205
16,38.0,25.98,3.7033124372453834
17,39.0,39.775,1.4981048634251817
